Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2714886, 0.08, 15, 0, 0, 0, 346644, 44906, 34, 46, 0, 49152, 0, 0.156277, 0.004223, 72980, 5458, 0, 0, 96, 0, 57, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_packagedata, 2780692, 0.87, 17, 2, 2, 3, 773045, 231987, 877, 311, 0, 196608, 0, 0.174554, 0.029092, 74156, 23638, 0, 0, 224, 66, 693, 0.023396, 0.033068, 71356, 6876, 0, 0, 160, 141, 110
do_recipe_qa, 647315, 0.08, 9, 1, 1, 0, 520918, 123971, 395, 207, 0, 106496, 0, 0.09840499999999999, 0.0123, 68028, 16167, 0, 0, 176, 25, 9, 0.010532, 0.007404999999999999, 65228, 4015, 1, 0, 32, 133, 12
do_package_qa, 2893243, 1.43, 29, 3, 5, 1, 882316, 222908, 960, 262, 0, 159744, 0, 0.29447999999999996, 0.037328, 67608, 21278, 0, 0, 272, 65, 474, 0.054222, 0.010348, 65396, 10869, 0, 0, 40, 130, 140
do_install, 2759430, 0.33, 21, 3, 3, 2, 824097, 176473, 1247, 318, 0, 159744, 0, 0.213535, 0.038131, 68328, 15202, 0, 0, 184, 164, 233, 0.036216, 0.027465, 66248, 9631, 0, 0, 128, 132, 275
do_create_runtime_spdx, 2893641, 1.42, 17, 4, 3, 1, 992133, 411623, 645, 255, 0, 167936, 0, 0.173816, 0.040403, 64128, 18978, 0, 0, 240, 51, 77, 0.030465, 0.011170999999999999, 60448, 5390, 0, 0, 88, 110, 80
do_compile, 2757437, 0.77, 13, 1, 23, 1, 3703467, 380809, 1290, 329, 32768, 172032, 0, 0.138411, 0.015378999999999999, 73448, 8287, 0, 0, 104, 15, 56, 0.23272199999999998, 0.01916, 70752, 12386, 0, 64, 232, 123, 186
do_fetch, 667535, 1.17, 5, 1, 0, 0, 474897, 188877, 298, 305, 0, 192512, 0, 0.052718, 0.011295999999999999, 66680, 7952, 0, 0, 112, 24, 25, 0.001813, 0.003312, 63236, 901, 0, 0, 264, 86, 1
do_configure, 2702316, 36.48, 33, 2, 368, 77, 73324384, 8072248, 34980, 12263, 98304, 8445952, 4517888, 0.33544999999999997, 0.020454, 73780, 17553, 0, 152, 344, 246, 118, 3.684454, 0.7748539999999999, 70940, 430165, 8, 40, 16152, 4110, 4375
do_deploy_source_date_epoch, 694756, 0.15, 15, 1, 1, 1, 579277, 160033, 467, 283, 0, 114688, 0, 0.158835, 0.017171, 69044, 18592, 0, 0, 184, 26, 15, 0.010596999999999999, 0.018883, 66244, 4646, 0, 0, 40, 89, 29
do_prepare_recipe_sysroot, 2696343, 1.79, 18, 5, 0, 1, 1922173, 1140007, 620, 325, 139264, 1187840, 0, 0.184583, 0.056177, 71504, 9524, 0, 264, 152, 39, 80, 0.009181, 0.016333999999999998, 66440, 1205, 0, 8, 2168, 21, 40
do_patch, 681422, 0.05, 8, 0, 0, 0, 532959, 118638, 192, 79, 0, 126976, 4096, 0.087851, 0.007986, 67268, 10654, 0, 0, 120, 6, 4, 0.005725999999999999, 0.002118, 61476, 940, 0, 0, 128, 12, 1
do_unpack, 674302, 0.05, 6, 1, 1, 0, 1823863, 2180615, 474, 402, 0, 1417216, 0, 0.066498, 0.015646, 66636, 10587, 0, 0, 120, 8, 3, 0.01635, 0.003172, 63104, 1687, 0, 0, 2648, 100, 2
do_populate_lic, 779430, 0.46, 13, 3, 2, 1, 628310, 169775, 581, 248, 0, 131072, 0, 0.131014, 0.030827, 69796, 16314, 0, 0, 216, 52, 154, 0.026824999999999998, 0.014124999999999999, 66700, 5009, 0, 0, 40, 107, 93
do_package_write_rpm, 2892977, 3.09, 22, 5, 306, 18, 2004829, 560014, 2120, 602, 0, 393216, 0, 0.224573, 0.054064, 67536, 24376, 0, 0, 488, 245, 359, 3.067457, 0.18638, 349244, 121355, 0, 0, 280, 1664, 992
do_create_spdx, 2782158, 1.24, 24, 3, 5, 1, 1333292, 590158, 781, 380, 0, 253952, 0, 0.248793, 0.030612, 76408, 26597, 0, 0, 392, 53, 132, 0.053503999999999996, 0.013307, 72788, 6843, 0, 0, 104, 289, 131
do_package, 2760489, 13.28, 72, 45, 79, 12, 4896071, 2197625, 4997, 947, 4096, 2015232, 126976, 0.7202919999999999, 0.45264299999999996, 69256, 39681, 0, 8, 584, 773, 908, 0.790999, 0.123124, 67116, 33878, 1, 0, 3352, 1259, 995
