Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2641706, 0.32, 14, 0, 0, 0, 346589, 44574, 34, 46, 0, 49152, 0, 0.143649, 0.0, 72448, 5297, 0, 0, 96, 0, 73, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 620084, 0.36, 14, 2, 2, 0, 511097, 124045, 414, 207, 0, 102400, 0, 0.145754, 0.0265, 67684, 16235, 0, 0, 168, 43, 88, 0.022255999999999998, 0.006091999999999999, 64872, 3997, 0, 0, 32, 87, 49
do_package_write_rpm, 3366541, 4.33, 32, 4, 299, 14, 2133291, 577259, 2448, 601, 1171456, 397312, 0, 0.323285, 0.046182999999999995, 59700, 23897, 0, 1336, 488, 535, 350, 2.990072, 0.148229, 382796, 122249, 0, 952, 288, 1734, 1192
do_install, 2499982, 0.64, 17, 4, 6, 2, 994073, 216491, 1777, 476, 0, 184320, 0, 0.177473, 0.047326, 67212, 14321, 0, 0, 184, 267, 335, 0.06444899999999999, 0.029602999999999997, 65132, 13469, 3, 0, 176, 162, 416
do_packagedata, 2614617, 1.53, 18, 6, 4, 1, 764425, 231383, 843, 311, 4096, 200704, 0, 0.187996, 0.066581, 73888, 23840, 0, 0, 232, 53, 157, 0.049981, 0.012782, 71088, 6896, 0, 8, 160, 121, 83
do_compile, 2489047, 0.73, 12, 2, 22, 1, 3447453, 434509, 1410, 406, 53248, 204800, 0, 0.124583, 0.024915999999999997, 71908, 8106, 0, 0, 120, 28, 134, 0.22650299999999998, 0.019084999999999998, 69212, 15240, 2, 104, 280, 149, 239
do_patch, 674609, 0.08, 7, 1, 3, 0, 890390, 124866, 719, 132, 0, 151552, 4096, 0.078928, 0.019732, 67276, 11672, 0, 0, 128, 13, 3, 0.031598999999999995, 0.003326, 61300, 9162, 0, 0, 168, 143, 12
do_fetch, 622264, 1.24, 10, 1, 0, 0, 498845, 216441, 305, 375, 0, 225280, 0, 0.106834, 0.012327, 65988, 8090, 0, 0, 128, 26, 80, 0.0036639999999999997, 0.006496, 62472, 899, 0, 0, 312, 98, 5
do_configure, 2349979, 23.33, 26, 4, 352, 75, 64834434, 7928843, 31503, 11473, 159744, 8171520, 4276224, 0.26539, 0.042929999999999996, 72380, 18306, 0, 176, 336, 208, 325, 3.528797, 0.7560359999999999, 69552, 404950, 15, 136, 15624, 3445, 4143
do_prepare_recipe_sysroot, 2337720, 0.37, 18, 5, 2, 0, 1795575, 1052943, 564, 303, 135168, 1097728, 0, 0.181336, 0.056666999999999995, 70916, 7515, 0, 256, 152, 36, 77, 0.021578, 0.0, 65876, 1204, 0, 8, 1992, 19, 13
do_deploy_source_date_epoch, 688837, 0.42, 16, 4, 2, 0, 579222, 172298, 521, 361, 0, 114688, 0, 0.162908, 0.041673999999999996, 69028, 18687, 0, 0, 184, 62, 119, 0.024723, 0.009694999999999999, 66216, 4673, 0, 0, 40, 78, 130
do_create_runtime_spdx, 3369779, 1.31, 25, 3, 4, 0, 1768367, 413118, 1054, 255, 1486848, 167936, 0, 0.258609, 0.031666, 62156, 21711, 5, 2904, 240, 230, 83, 0.045172, 0.002421, 58436, 5400, 1, 0, 88, 107, 61
do_create_spdx, 2645036, 1.28, 23, 5, 4, 3, 1295208, 598411, 788, 392, 4096, 258048, 0, 0.23516399999999998, 0.059787, 75992, 26463, 0, 8, 392, 72, 99, 0.041999999999999996, 0.033694, 72360, 6830, 1, 0, 112, 318, 128
do_unpack, 671211, 0.05, 5, 2, 1, 0, 2046976, 2535807, 555, 466, 0, 1634304, 0, 0.059142, 0.021122, 66816, 11466, 0, 0, 120, 10, 2, 0.018713, 0.003783, 63236, 2256, 0, 0, 3072, 129, 4
do_package, 2517887, 2.97, 68, 42, 95, 19, 5136776, 2278238, 5434, 962, 4096, 2064384, 139264, 0.6870839999999999, 0.420742, 68488, 38239, 0, 8, 584, 622, 1223, 0.9576089999999999, 0.195175, 66368, 38676, 1, 0, 3448, 1508, 1005
do_populate_lic, 770739, 0.16, 15, 2, 1, 1, 627599, 169700, 533, 248, 0, 131072, 0, 0.15249, 0.028849, 69568, 18416, 0, 0, 216, 24, 81, 0.018876999999999998, 0.015931999999999998, 66476, 4976, 0, 0, 40, 92, 52
do_package_qa, 3366644, 2.38, 33, 2, 3, 3, 931606, 223222, 1050, 262, 401408, 159744, 0, 0.334532, 0.028557, 59452, 21249, 9, 768, 272, 150, 511, 0.039366, 0.031530999999999997, 57048, 10843, 0, 16, 40, 130, 152
