Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_runtime_spdx, 2756047, 1.05, 39, 4, 3, 1, 1964667, 723456, 1270, 334, 0, 405504, 0, 0.394936, 0.048895999999999995, 76092, 22276, 0, 0, 696, 45, 927, 0.031396, 0.016132999999999998, 72580, 5496, 0, 0, 96, 152, 99
do_package, 1746886, 7.69, 170, 55, 461, 59, 60325703, 24235448, 37069, 3737, 0, 10133504, 0, 1.702799, 0.557064, 69092, 73356, 0, 0, 1488, 1436, 12514, 4.614994, 0.59699, 441432, 179843, 2, 0, 18304, 11571, 8886
do_collect_spdx_deps, 2045345, 0.09, 18, 1, 0, 0, 347005, 47149, 37, 50, 0, 53248, 0, 0.180779, 0.011297999999999999, 70848, 7294, 0, 0, 104, 0, 69, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 2045987, 2.97, 35, 16, 11, 18, 2748435, 1396625, 1976, 492, 151552, 684032, 0, 0.35698599999999997, 0.16719599999999998, 75552, 61245, 0, 296, 1176, 181, 143, 0.111011, 0.188937, 71932, 18646, 1, 0, 160, 2220, 702
do_prepare_recipe_sysroot, 1710102, 0.68, 19, 14, 1, 1, 2479266, 1223188, 651, 360, 258048, 1323008, 0, 0.19061899999999998, 0.140892, 71268, 7716, 0, 464, 152, 38, 149, 0.013841, 0.012908, 66380, 656, 0, 40, 2432, 14, 42
do_compile, 1725738, 1.89, 14, 2, 180, 23, 43466352, 4020456, 9800, 1418, 6131712, 3878912, 0, 0.142586, 0.022279, 71484, 6265, 0, 0, 104, 62, 58, 1.805993, 0.23727399999999998, 68776, 88548, 14, 11976, 7472, 766, 857
do_recipe_qa, 44481, 0.05, 7, 1, 1, 0, 482940, 126975, 400, 211, 0, 102400, 0, 0.076169, 0.012026, 62124, 16102, 0, 0, 168, 29, 3, 0.012815, 0.001052, 59324, 3994, 0, 0, 32, 126, 9
do_install, 1728857, 2.46, 19, 3, 40, 26, 16118947, 7340158, 4535, 1422, 3284992, 7929856, 0, 0.19472299999999998, 0.030289999999999997, 65140, 14215, 0, 0, 456, 195, 290, 0.407744, 0.266075, 63060, 11790, 0, 6416, 15032, 2077, 978
do_packagedata, 1824302, 0.92, 19, 6, 4, 3, 1364785, 807721, 1572, 470, 0, 671744, 0, 0.192768, 0.060239999999999995, 72588, 23898, 0, 0, 392, 86, 125, 0.044198999999999995, 0.034963, 69852, 7217, 0, 0, 920, 149, 158
do_fetch, 44530, 1.84, 6, 1, 0, 1, 1241610, 958087, 886, 1400, 0, 954368, 0, 0.06687599999999999, 0.019669, 60380, 5939, 0, 0, 112, 80, 6, 0.0051129999999999995, 0.010825, 56884, 910, 0, 0, 1752, 305, 4
do_patch, 322862, 0.04, 11, 0, 0, 0, 502460, 121998, 192, 85, 0, 126976, 4096, 0.11381999999999999, 0.00813, 63560, 11807, 0, 0, 120, 8, 26, 0.0070469999999999994, 0.001276, 57800, 947, 0, 0, 128, 13, 8
do_configure, 1711288, 8.32, 20, 1, 99, 5, 9468832, 5434191, 1539, 1063, 974848, 6008832, 0, 0.203093, 0.011715999999999999, 71828, 9412, 0, 24, 152, 35, 52, 0.9930359999999999, 0.051778, 68908, 10474, 0, 1880, 11584, 487, 838
