Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 527886, 0.02, 7, 1, 0, 0, 564555, 45531, 36, 51, 0, 53248, 0, 0.07081699999999999, 0.011802, 66516, 7084, 0, 0, 104, 0, 6, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 1039384, 1.20, 34, 5, 8, 3, 1756954, 564310, 1655, 850, 0, 364544, 4096, 0.344275, 0.05458, 71440, 30342, 0, 0, 496, 104, 151, 0.083415, 0.03868, 69208, 14433, 0, 0, 216, 242, 200
do_recipe_qa, 39253, 0.05, 9, 0, 1, 0, 696732, 127799, 391, 219, 0, 106496, 0, 0.092526, 0.0042049999999999995, 62488, 16424, 0, 0, 176, 28, 5, 0.010251999999999999, 0.003757, 59688, 4053, 0, 0, 32, 136, 8
do_install, 1038887, 0.70, 18, 2, 7, 0, 1340915, 236382, 2233, 657, 139264, 299008, 0, 0.187854, 0.025616, 70872, 13923, 0, 0, 144, 95, 75, 0.077572, 0.009607, 68180, 10786, 0, 272, 440, 186, 173
do_configure, 1028149, 9.93, 37, 2, 228, 41, 26138590, 4213278, 18959, 8048, 425984, 3313664, 1318912, 0.375915, 0.023493999999999998, 71692, 20862, 0, 304, 296, 177, 77, 2.284649, 0.412803, 68800, 201067, 3, 528, 6176, 3306, 3284
do_patch, 40458, 0.02, 5, 2, 0, 0, 643746, 119967, 178, 84, 0, 126976, 4096, 0.054584, 0.020994, 61724, 10169, 0, 0, 120, 6, 5, 0.004475, 0.000749, 55692, 952, 0, 0, 128, 12, 3
do_compile, 1038274, 0.94, 15, 1, 62, 6, 8568275, 264392, 2727, 335, 28672, 151552, 16384, 0.152561, 0.011163, 70812, 8686, 0, 0, 80, 14, 30, 0.627208, 0.067983, 68108, 44324, 0, 56, 216, 255, 712
do_fetch, 39319, 8.53, 7, 0, 10, 2, 4147125, 1082260, 2873, 878, 0, 512000, 12288, 0.07869899999999999, 0.0046289999999999994, 61336, 9837, 0, 0, 136, 95, 6, 0.107676, 0.020309, 57536, 11784, 0, 0, 864, 588, 14
do_unpack, 40429, 0.14, 5, 2, 8, 2, 4791706, 306526, 1632, 214, 0, 634880, 8192, 0.058096999999999996, 0.021786, 61728, 16615, 0, 0, 72, 32, 6, 0.08816199999999999, 0.024270999999999997, 57780, 14901, 0, 0, 1168, 40, 34
do_prepare_recipe_sysroot, 1027845, 0.56, 19, 9, 3, 1, 3551319, 2502258, 982, 656, 36864, 2621440, 4096, 0.197596, 0.098798, 70284, 10207, 0, 56, 552, 16, 56, 0.035309, 0.010870999999999999, 65396, 1647, 0, 16, 4568, 27, 22
do_create_spdx, 528055, 0.11, 12, 2, 1, 0, 1280193, 495579, 646, 284, 0, 212992, 0, 0.1202, 0.028045999999999998, 68776, 21078, 0, 0, 312, 37, 5, 0.019011999999999998, 0.007999, 65860, 5241, 2, 0, 104, 158, 8
do_populate_lic, 720131, 0.44, 18, 4, 2, 1, 980559, 220811, 581, 264, 24576, 135168, 0, 0.184118, 0.047008, 70740, 18475, 1, 48, 224, 42, 69, 0.02608, 0.016062, 67656, 4998, 0, 0, 40, 94, 90
do_create_runtime_spdx, 780900, 0.34, 15, 2, 2, 0, 993613, 356932, 389, 247, 0, 139264, 0, 0.153146, 0.026799999999999997, 71144, 16040, 0, 0, 192, 21, 31, 0.025505999999999997, 0.005174, 68336, 4267, 0, 0, 80, 72, 51
do_deploy_source_date_epoch, 41966, 0.07, 9, 1, 1, 0, 750957, 158669, 493, 296, 0, 118784, 0, 0.091226, 0.017376, 62624, 18653, 0, 0, 192, 34, 7, 0.011092999999999999, 0.005562999999999999, 59744, 4696, 0, 0, 40, 161, 8
