Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 2693265, 0.16, 16, 0, 0, 0, 346402, 44607, 34, 46, 0, 49152, 0, 0.166009, 0.007904999999999999, 72568, 5349, 0, 0, 96, 0, 52, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 647347, 0.08, 12, 2, 0, 1, 521416, 124464, 389, 207, 0, 102400, 0, 0.12465699999999999, 0.028148, 68024, 16140, 0, 0, 168, 25, 3, 0.009309, 0.010140999999999999, 65224, 4004, 0, 0, 32, 145, 9
do_install, 2649386, 0.99, 23, 2, 4, 2, 920463, 264434, 1259, 314, 0, 249856, 0, 0.233201, 0.029612, 66976, 14707, 0, 0, 176, 115, 268, 0.042686999999999996, 0.025241, 64888, 9685, 0, 0, 312, 100, 274
do_configure, 2592739, 31.26, 33, 3, 368, 61, 67686312, 7420474, 34424, 11405, 352256, 7663616, 4173824, 0.335086, 0.035901999999999996, 73564, 18846, 0, 648, 336, 279, 115, 3.683281, 0.611158, 70776, 398440, 7, 40, 14632, 4216, 4702
do_packagedata, 2690808, 1.18, 18, 5, 2, 3, 769927, 232744, 919, 311, 0, 200704, 0, 0.188133, 0.054872, 73804, 23656, 0, 0, 232, 88, 89, 0.02903, 0.030313999999999997, 71068, 6890, 0, 0, 160, 161, 131
do_compile, 2646978, 1.46, 13, 1, 71, 8, 7219523, 1213309, 2177, 717, 86016, 421888, 0, 0.13583399999999998, 0.016978999999999998, 72508, 8402, 0, 0, 144, 46, 39, 0.711766, 0.085631, 69792, 26849, 0, 168, 680, 287, 515
do_fetch, 667561, 1.18, 6, 0, 0, 0, 481392, 195740, 303, 306, 0, 200704, 0, 0.060691999999999996, 0.003793, 66748, 7981, 0, 0, 112, 25, 2, 0.001468, 0.004001, 63236, 906, 0, 0, 280, 96, 1
do_create_spdx, 2707929, 0.28, 14, 6, 3, 2, 1304740, 594699, 761, 366, 0, 258048, 0, 0.150038, 0.063174, 76444, 25791, 0, 0, 392, 51, 21, 0.030767, 0.026243, 72828, 6863, 0, 0, 112, 673, 70
do_patch, 681484, 0.05, 7, 3, 0, 0, 535750, 118746, 192, 79, 0, 126976, 4096, 0.0799, 0.030438, 67260, 10654, 0, 0, 120, 6, 5, 0.006332, 0.0, 61476, 940, 0, 0, 128, 13, 1
do_prepare_recipe_sysroot, 2588560, 0.57, 14, 5, 1, 0, 1795447, 1053252, 564, 304, 131072, 1101824, 0, 0.140837, 0.052813, 71692, 7338, 0, 248, 152, 35, 72, 0.019629, 0.005961999999999999, 66648, 1206, 0, 8, 2000, 19, 34
do_populate_lic, 779507, 0.45, 14, 3, 2, 1, 627200, 170127, 567, 248, 0, 131072, 0, 0.148552, 0.031273999999999996, 69800, 16259, 0, 0, 216, 42, 97, 0.027533, 0.012331, 66692, 4936, 1, 0, 40, 95, 97
do_deploy_source_date_epoch, 694789, 0.12, 17, 2, 1, 1, 579606, 161299, 483, 286, 0, 114688, 0, 0.176088, 0.020475, 69056, 18663, 0, 0, 184, 29, 10, 0.018076, 0.011609, 66248, 4688, 0, 0, 40, 133, 13
do_package, 2676133, 10.62, 144, 52, 77, 17, 6134767, 2845904, 5204, 1030, 20480, 2453504, 323584, 1.448238, 0.520892, 68496, 40677, 0, 8, 584, 1000, 960, 0.77738, 0.175778, 66372, 34409, 2, 32, 4208, 1546, 1023
do_create_runtime_spdx, 2895282, 0.98, 13, 4, 2, 1, 996003, 412210, 654, 255, 0, 167936, 0, 0.130512, 0.045003999999999995, 63668, 19090, 0, 0, 240, 54, 63, 0.026736, 0.016985, 60068, 5360, 0, 0, 88, 103, 90
do_unpack, 674319, 0.06, 7, 0, 1, 0, 1850813, 2223111, 488, 413, 0, 1454080, 0, 0.078425, 0.008713, 66676, 10579, 0, 0, 120, 8, 45, 0.013661, 0.004935, 63104, 1727, 0, 0, 2720, 111, 4
do_package_write_rpm, 2893898, 3.20, 30, 4, 325, 21, 2841793, 701140, 2227, 605, 4096, 479232, 0, 0.30213599999999996, 0.040284, 67436, 24406, 0, 8, 488, 298, 368, 3.258862, 0.210201, 389808, 121710, 1, 0, 448, 1974, 1063
do_package_qa, 2893918, 1.32, 29, 3, 5, 2, 1054885, 223833, 1088, 267, 0, 159744, 0, 0.29735, 0.038616, 67280, 21671, 0, 0, 272, 157, 493, 0.051205, 0.020057, 65064, 11073, 1, 0, 40, 133, 132
