Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 314272, 0.01, 10, 1, 0, 0, 565955, 49476, 41, 58, 0, 49152, 0, 0.101537, 0.015621, 65044, 7058, 0, 0, 96, 0, 10, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_write_config, 31913, 0.02, 7, 1, 0, 0, 542224, 46238, 90, 82, 0, 36864, 0, 0.078204, 0.011729999999999999, 62364, 8286, 0, 0, 56, 4, 1, 0.002068, 0.0, 59660, 573, 0, 0, 16, 5, 1
do_recipe_qa, 31627, 0.04, 9, 0, 0, 0, 692886, 130673, 396, 226, 0, 110592, 0, 0.091626, 0.007967, 62700, 16200, 0, 0, 184, 26, 2, 0.009781, 0.004246, 59892, 4028, 0, 0, 32, 131, 5
do_install, 960469, 0.88, 19, 1, 31, 4, 10658613, 1765961, 1285, 731, 1732608, 2027520, 0, 0.19900199999999998, 0.01951, 70364, 13912, 0, 0, 272, 31, 135, 0.312309, 0.046314999999999995, 67664, 7578, 2, 3384, 3688, 151, 70
do_populate_lic, 718224, 0.44, 20, 4, 2, 1, 849988, 187611, 583, 267, 12288, 131072, 0, 0.203512, 0.046078, 71024, 18886, 1, 24, 224, 47, 50, 0.029323, 0.013663999999999999, 67940, 4984, 0, 0, 32, 118, 105
do_compile, 959778, 0.72, 16, 1, 27, 4, 9794471, 38409, 986, 136, 0, 20480, 0, 0.163931, 0.014570999999999999, 70352, 8582, 0, 0, 40, 21, 69, 0.27409, 0.041254, 67648, 7646, 0, 0, 0, 10, 49
do_fetch, 31676, 6.49, 6, 0, 0, 0, 504929, 50581, 36, 67, 0, 53248, 0, 0.06600199999999999, 0.007764, 61604, 6893, 0, 0, 104, 1, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_sysroot, 961315, 1.37, 28, 3, 7, 2, 6214836, 1895258, 2733, 1037, 0, 544768, 0, 0.282291, 0.037362, 70692, 26052, 0, 0, 448, 143, 248, 0.073519, 0.024898, 67892, 9592, 0, 0, 616, 213, 258
do_configure, 957658, 3.46, 21, 1, 116, 11, 14070568, 4759924, 3144, 1221, 172032, 5238784, 57344, 0.21853, 0.015335, 70380, 11550, 0, 0, 152, 70, 65, 1.164819, 0.11484899999999999, 67468, 36815, 1, 336, 10080, 314, 1045
do_prepare_recipe_sysroot, 957242, 0.40, 16, 10, 0, 0, 1997653, 1054846, 452, 307, 20480, 1097728, 0, 0.164025, 0.102992, 69820, 7461, 0, 40, 248, 9, 153, 0.008473, 0.008926, 64932, 613, 0, 0, 1896, 8, 6
do_patch, 258936, 0.03, 13, 0, 0, 0, 645247, 124552, 183, 91, 0, 126976, 4096, 0.13028299999999998, 0.008142, 64032, 10235, 0, 0, 120, 6, 22, 0.005129, 0.003574, 58140, 954, 0, 0, 128, 13, 6
do_deploy_source_date_epoch, 261668, 0.12, 21, 3, 1, 1, 756584, 160823, 479, 306, 0, 118784, 0, 0.212447, 0.036768999999999996, 64956, 18843, 0, 0, 192, 29, 23, 0.015066, 0.010605, 62156, 4690, 1, 0, 40, 97, 36
do_create_runtime_spdx, 774939, 0.14, 12, 4, 1, 1, 992900, 358384, 457, 253, 0, 139264, 0, 0.12964599999999998, 0.044565, 71208, 16743, 0, 0, 192, 45, 59, 0.014251999999999999, 0.013306, 68392, 4265, 0, 0, 80, 87, 104
do_create_spdx, 314947, 0.17, 19, 0, 1, 1, 1228776, 495915, 616, 290, 0, 208896, 0, 0.19980199999999998, 0.004077, 67268, 20970, 0, 0, 304, 36, 40, 0.017959, 0.014123, 64352, 5241, 1, 0, 104, 110, 46
do_unpack, 257460, 0.09, 11, 1, 4, 2, 9550684, 15679315, 1697, 2244, 0, 8822784, 0, 0.119432, 0.016472999999999998, 63972, 10887, 0, 0, 128, 8, 73, 0.047295, 0.026243, 60272, 3408, 0, 0, 17104, 674, 140
