Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_sysroot, 1450821, 3.10, 23, 3, 6, 2, 4817395, 1768025, 2425, 736, 4096, 393216, 0, 0.231398, 0.035297999999999996, 70732, 23346, 0, 8, 384, 150, 91, 0.063414, 0.028983, 67996, 9099, 0, 0, 384, 231, 249
do_collect_spdx_deps, 1450217, 0.19, 14, 0, 0, 0, 345752, 45359, 33, 48, 0, 49152, 0, 0.146259, 0.004062, 69764, 5489, 0, 0, 96, 0, 46, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 29864, 0.06, 8, 0, 0, 0, 463942, 124859, 376, 209, 0, 106496, 0, 0.084687, 0.004032, 61448, 15964, 0, 0, 176, 23, 13, 0.007333999999999999, 0.0069949999999999995, 58648, 3987, 0, 0, 32, 152, 6
do_install, 1449105, 1.69, 18, 2, 31, 11, 10559798, 1716031, 2803, 716, 1720320, 2023424, 0, 0.18456599999999998, 0.029362, 62080, 14450, 0, 0, 296, 155, 282, 0.31432099999999996, 0.11023999999999999, 59988, 11266, 0, 3360, 3656, 925, 905
do_create_runtime_spdx, 1487453, 1.19, 19, 3, 3, 0, 1175317, 397682, 670, 252, 0, 151552, 0, 0.190679, 0.039723999999999995, 72784, 21594, 0, 0, 216, 61, 136, 0.038793999999999995, 0.007647999999999999, 69676, 5356, 0, 0, 80, 131, 110
do_packagedata, 1454471, 0.86, 19, 4, 5, 0, 764744, 251708, 857, 317, 0, 208896, 0, 0.196273, 0.048066, 71468, 23312, 0, 0, 224, 53, 97, 0.058684999999999994, 0.00342, 68668, 6922, 0, 0, 184, 126, 85
do_compile, 1448007, 1.22, 14, 0, 29, 3, 9587662, 34131, 977, 126, 0, 20480, 0, 0.144642, 0.004254, 70504, 6316, 0, 0, 40, 21, 78, 0.292497, 0.033297, 67812, 7665, 0, 0, 0, 15, 139
do_populate_lic, 715590, 0.40, 16, 4, 2, 1, 645071, 181641, 553, 251, 12288, 131072, 0, 0.165157, 0.048338, 69544, 18504, 1, 24, 216, 40, 231, 0.029366999999999997, 0.013639, 66448, 4992, 1, 0, 40, 137, 87
do_prepare_recipe_sysroot, 1441116, 4.03, 18, 12, 1, 0, 2453973, 1195340, 616, 346, 610304, 1269760, 0, 0.18787399999999999, 0.129163, 70424, 9592, 0, 1192, 144, 72, 80, 0.013797, 0.0036109999999999996, 65536, 639, 0, 0, 2336, 22, 4
do_fetch, 29953, 13.85, 7, 0, 1, 0, 1102486, 818726, 894, 1183, 0, 819200, 0, 0.079304, 0.008347, 59628, 5884, 0, 0, 112, 96, 8, 0.013302, 0.001766, 56232, 902, 0, 0, 1488, 398, 6
do_write_config, 30199, 0.03, 6, 0, 0, 0, 339059, 56733, 116, 98, 0, 49152, 0, 0.061936, 0.007742, 61168, 7824, 0, 0, 64, 6, 1, 0.0028139999999999997, 0.0, 58472, 797, 0, 0, 32, 10, 0
do_patch, 248405, 0.04, 11, 1, 0, 0, 506583, 120566, 188, 83, 0, 126976, 4096, 0.111287, 0.019872, 62536, 11932, 0, 0, 120, 5, 21, 0.004796, 0.004131, 56572, 944, 0, 0, 128, 12, 25
do_package, 1451323, 4.64, 55, 19, 156, 8, 11338185, 5932276, 11378, 1267, 0, 2953216, 0, 0.557688, 0.190219, 63972, 33663, 0, 0, 688, 813, 3998, 1.569029, 0.08791199999999999, 61828, 24183, 0, 0, 5080, 3969, 1078
do_configure, 1443906, 8.78, 14, 0, 120, 12, 12106936, 4749131, 2839, 1016, 401408, 5234688, 36864, 0.143116, 0.00795, 70516, 9223, 0, 24, 160, 18, 99, 1.208162, 0.121448, 67584, 33388, 8, 760, 10064, 500, 572
do_unpack, 177419, 0.07, 5, 1, 4, 1, 9330475, 15674427, 1717, 2226, 0, 8822784, 0, 0.057117999999999995, 0.019039, 62132, 8822, 0, 0, 128, 8, 4, 0.044478, 0.017681, 58336, 3385, 0, 0, 17104, 705, 12
do_package_write_rpm, 1486875, 4.06, 25, 7, 268, 17, 6802084, 1261279, 3011, 559, 94208, 823296, 0, 0.25343499999999997, 0.070812, 64336, 24104, 0, 184, 488, 318, 412, 2.686673, 0.176535, 334488, 99027, 1, 0, 1120, 1982, 1108
do_package_qa, 1487187, 1.52, 24, 5, 4, 0, 2693305, 210398, 3387, 256, 0, 155648, 0, 0.247527, 0.055893, 63772, 14774, 0, 0, 264, 457, 2113, 0.041923999999999996, 0.006096, 61568, 6437, 0, 0, 40, 88, 107
do_create_spdx, 1455181, 1.04, 23, 5, 3, 2, 1544553, 755272, 738, 328, 8192, 344064, 0, 0.23263999999999999, 0.05089, 73360, 24856, 0, 0, 544, 55, 117, 0.037863, 0.027218, 69744, 6401, 1, 16, 128, 307, 121
do_deploy_source_date_epoch, 249538, 0.23, 15, 2, 2, 0, 545878, 161324, 554, 285, 0, 114688, 0, 0.150732, 0.024443, 64360, 18623, 0, 0, 184, 81, 32, 0.020045, 0.008062, 61560, 4682, 0, 0, 40, 81, 118
