Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_package_write_rpm, 2892246, 3.25, 21, 6, 326, 18, 4020227, 879208, 2393, 616, 217088, 602112, 0, 0.21838, 0.064705, 67784, 24302, 0, 256, 488, 482, 270, 3.261476, 0.18972699999999998, 412156, 123313, 0, 168, 688, 1749, 1118
do_package, 2309634, 5.45, 75, 46, 103, 15, 7944667, 3672738, 5281, 1074, 0, 2981888, 561152, 0.7539779999999999, 0.463696, 68172, 40701, 0, 0, 584, 528, 1406, 1.035608, 0.15484699999999998, 65988, 39544, 0, 0, 5240, 1232, 904
do_configure, 2263890, 14.48, 28, 4, 320, 72, 64233799, 7097675, 36161, 11076, 692224, 7335936, 3997696, 0.28030299999999997, 0.041221, 72428, 17238, 0, 1160, 336, 268, 183, 3.200957, 0.721806, 69672, 380394, 20, 192, 13992, 3598, 3783
do_collect_spdx_deps, 2275142, 0.07, 14, 1, 0, 0, 346302, 44820, 34, 46, 0, 49152, 0, 0.14174699999999998, 0.012506999999999999, 71948, 7168, 0, 0, 96, 0, 326, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_create_spdx, 2330435, 0.88, 23, 4, 4, 2, 1320608, 584623, 767, 369, 12288, 253952, 0, 0.23111099999999998, 0.043605, 75216, 23793, 0, 24, 392, 53, 142, 0.040410999999999996, 0.028381999999999998, 71596, 6822, 0, 0, 104, 244, 121
do_recipe_qa, 37522, 0.05, 6, 1, 1, 0, 474195, 123974, 385, 207, 0, 102400, 0, 0.064006, 0.018824999999999998, 62128, 16106, 0, 0, 168, 23, 16, 0.013465, 0.00115, 59328, 4003, 0, 0, 32, 131, 7
do_install, 2307614, 0.57, 18, 3, 5, 2, 1127528, 396033, 1461, 331, 0, 385024, 0, 0.18801299999999999, 0.032698, 67020, 14688, 0, 0, 184, 101, 274, 0.054773999999999996, 0.022822, 64936, 11773, 0, 0, 568, 160, 299
do_packagedata, 2327436, 0.49, 18, 2, 2, 2, 756662, 230502, 914, 311, 0, 196608, 0, 0.181745, 0.024232, 72980, 23208, 0, 0, 224, 86, 50, 0.029509999999999998, 0.025178, 70180, 6887, 0, 0, 160, 119, 105
do_patch, 288260, 0.04, 10, 0, 0, 0, 536268, 118674, 193, 79, 0, 126976, 4096, 0.109967, 0.008459, 63056, 8565, 0, 0, 120, 6, 5, 0.006003, 0.003129, 57200, 935, 0, 0, 128, 13, 2
do_compile, 2301334, 3.28, 14, 1, 158, 4, 6428268, 2108007, 1778, 681, 151552, 667648, 0, 0.149669, 0.018708, 72104, 8233, 0, 0, 96, 16, 59, 1.58319, 0.046526, 80200, 27008, 0, 296, 1208, 366, 702
do_populate_lic, 719622, 0.38, 15, 2, 3, 0, 623802, 169905, 553, 248, 8192, 131072, 0, 0.15386, 0.026376, 69460, 18348, 1, 16, 216, 39, 66, 0.034115, 0.005914, 66368, 4989, 0, 0, 40, 114, 53
do_fetch, 37571, 1.20, 4, 0, 0, 0, 515619, 230141, 374, 375, 0, 233472, 0, 0.048369999999999996, 0.00403, 60300, 5838, 0, 0, 112, 29, 4, 0.005149, 0.0, 56940, 892, 0, 0, 344, 116, 2
do_create_runtime_spdx, 2892795, 0.90, 14, 2, 3, 1, 988575, 411837, 653, 255, 8192, 167936, 0, 0.143624, 0.029568999999999998, 63724, 19026, 0, 16, 240, 57, 92, 0.033969, 0.010695999999999999, 60064, 5379, 0, 0, 88, 150, 169
do_prepare_recipe_sysroot, 2262614, 0.36, 18, 6, 1, 0, 1800661, 1054021, 570, 304, 303104, 1101824, 0, 0.181914, 0.060638, 70492, 9081, 0, 584, 160, 47, 131, 0.017335, 0.006722, 65484, 1197, 0, 8, 1992, 19, 13
do_populate_sysroot, 2309356, 0.77, 20, 4, 3, 2, 741250, 272545, 817, 542, 0, 200704, 0, 0.205372, 0.044295999999999995, 72476, 22494, 0, 0, 352, 50, 138, 0.031644, 0.020768, 69660, 7324, 0, 0, 40, 155, 90
do_deploy_source_date_epoch, 300063, 0.14, 15, 1, 1, 1, 546939, 160764, 472, 286, 0, 114688, 0, 0.156381, 0.017374999999999998, 65032, 18564, 0, 0, 184, 26, 7, 0.011722, 0.015208999999999999, 62232, 4669, 0, 0, 40, 111, 11
do_unpack, 285991, 0.05, 11, 0, 2, 0, 2028548, 2515092, 505, 440, 0, 1597440, 0, 0.11202999999999999, 0.007725999999999999, 63216, 8579, 0, 0, 128, 8, 4, 0.023733, 0.003427, 59728, 1745, 0, 0, 2992, 110, 10
do_package_qa, 2892340, 1.13, 26, 4, 4, 2, 1208234, 223335, 1019, 262, 131072, 159744, 0, 0.26051599999999997, 0.047366, 67348, 21569, 0, 256, 272, 133, 470, 0.046354, 0.022229, 65136, 11034, 0, 0, 40, 112, 160
