Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 2778388, 0.64, 18, 4, 3, 2, 1331871, 585055, 781, 371, 4096, 253952, 0, 0.186589, 0.041048999999999995, 76580, 23956, 0, 8, 392, 49, 109, 0.033086, 0.029557, 73028, 6826, 0, 0, 104, 270, 197
do_patch, 681316, 0.09, 5, 3, 3, 0, 817639, 127382, 684, 132, 0, 151552, 4096, 0.060003999999999995, 0.037502, 67276, 11728, 0, 0, 128, 13, 4, 0.0356, 0.006411, 61676, 9396, 0, 0, 168, 140, 14
do_collect_spdx_deps, 2714797, 0.12, 15, 0, 0, 0, 346357, 44886, 34, 46, 0, 49152, 0, 0.154062, 0.0, 73396, 5684, 0, 0, 96, 0, 101, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_package_qa, 2889582, 1.62, 21, 5, 3, 2, 967546, 222820, 981, 262, 0, 159744, 0, 0.21423699999999998, 0.058809999999999994, 67612, 21596, 0, 0, 272, 81, 460, 0.032852, 0.029804999999999998, 65400, 10835, 0, 0, 40, 114, 138
do_recipe_qa, 647211, 0.08, 9, 1, 1, 0, 520153, 123935, 395, 207, 0, 102400, 0, 0.09397, 0.016342, 68028, 16143, 0, 0, 168, 25, 55, 0.011731, 0.007598, 65228, 3996, 0, 0, 32, 139, 14
do_install, 2755895, 0.86, 18, 2, 5, 1, 868751, 211657, 1185, 261, 0, 208896, 0, 0.189522, 0.028606999999999997, 68340, 15205, 0, 0, 184, 419, 404, 0.051261, 0.01901, 66260, 9649, 0, 0, 224, 135, 226
do_packagedata, 2777409, 0.66, 15, 2, 3, 1, 766102, 229436, 850, 311, 4096, 196608, 0, 0.151842, 0.027971, 74468, 21142, 0, 8, 224, 56, 143, 0.038852, 0.018427, 71660, 6933, 0, 0, 160, 145, 120
do_compile, 2753742, 1.30, 12, 1, 31, 3, 4151573, 746669, 1305, 513, 65536, 270336, 0, 0.123579, 0.015446999999999999, 73472, 8441, 0, 0, 104, 52, 160, 0.31265899999999996, 0.0359, 70780, 14490, 0, 128, 424, 130, 203
do_populate_lic, 778941, 0.46, 14, 2, 2, 1, 623374, 169390, 583, 248, 0, 131072, 0, 0.14918099999999998, 0.027479999999999997, 69804, 16281, 0, 0, 216, 52, 174, 0.021297999999999997, 0.018208, 66704, 4977, 2, 0, 40, 87, 108
do_fetch, 666880, 1.38, 4, 1, 0, 0, 480576, 198085, 268, 310, 0, 200704, 0, 0.049991, 0.012497, 66744, 8133, 0, 0, 120, 20, 2, 0.0, 0.0056359999999999995, 63236, 905, 0, 0, 272, 73, 1
do_deploy_source_date_epoch, 694720, 0.14, 15, 1, 2, 0, 578840, 160286, 475, 286, 0, 114688, 0, 0.1541, 0.019756, 69056, 18700, 0, 0, 184, 27, 9, 0.021653, 0.00728, 66244, 4661, 0, 0, 40, 85, 29
do_prepare_recipe_sysroot, 2696081, 1.11, 22, 6, 2, 0, 1826551, 1053834, 590, 303, 139264, 1097728, 0, 0.22161, 0.062206, 71648, 7544, 0, 264, 152, 40, 84, 0.020571, 0.0022489999999999997, 66688, 1206, 0, 8, 1992, 22, 22
do_package_write_rpm, 2887166, 3.58, 28, 5, 319, 16, 2423269, 618034, 2333, 608, 0, 425984, 0, 0.286886, 0.05517, 68036, 24361, 0, 0, 480, 375, 467, 3.193234, 0.163401, 334236, 121554, 1, 0, 352, 1572, 1276
do_configure, 2699888, 34.26, 25, 5, 333, 59, 63599985, 7539451, 29988, 11533, 126976, 7737344, 4169728, 0.250682, 0.055707, 73868, 17847, 0, 176, 344, 253, 424, 3.335765, 0.5997199999999999, 70948, 378828, 14, 72, 14768, 2872, 2652
do_create_runtime_spdx, 2889763, 1.06, 17, 4, 2, 1, 985324, 411415, 621, 255, 0, 167936, 0, 0.17418499999999998, 0.041652999999999996, 63788, 21122, 0, 0, 240, 41, 79, 0.024065, 0.015938, 60228, 5395, 0, 0, 88, 106, 82
do_package, 2757597, 12.98, 211, 53, 79, 14, 5520448, 2489340, 4992, 976, 4096, 2220032, 221184, 2.113304, 0.5359269999999999, 69488, 39884, 0, 8, 584, 431, 1406, 0.7947949999999999, 0.145683, 67368, 33939, 0, 0, 3752, 1392, 856
do_unpack, 674109, 0.06, 6, 1, 1, 0, 1865310, 2231205, 515, 414, 0, 1441792, 0, 0.066257, 0.019487, 67028, 11522, 0, 0, 120, 10, 6, 0.019155, 0.0018759999999999998, 63440, 2225, 0, 0, 2696, 102, 3
