Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_runtime_spdx, 774223, 0.11, 17, 2, 1, 1, 995476, 356913, 439, 250, 0, 139264, 0, 0.172485, 0.02352, 71224, 16328, 0, 0, 192, 38, 27, 0.014502999999999999, 0.012693, 68408, 4254, 0, 0, 80, 85, 50
do_patch, 320185, 0.17, 15, 1, 4, 0, 924236, 127378, 681, 141, 0, 151552, 4096, 0.15373799999999999, 0.016182, 65184, 11509, 0, 0, 128, 13, 38, 0.042933, 0.0041719999999999995, 59332, 9269, 0, 0, 168, 137, 30
do_collect_spdx_deps, 427475, 0.02, 7, 1, 0, 0, 568125, 48153, 44, 55, 135168, 53248, 0, 0.07479, 0.011807999999999999, 65608, 7092, 0, 264, 104, 2, 50, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 43642, 0.05, 8, 1, 1, 0, 702069, 129283, 403, 223, 0, 106496, 0, 0.082928, 0.011845999999999999, 63080, 16678, 0, 0, 176, 29, 3, 0.012286, 0.001173, 60280, 4013, 0, 0, 32, 127, 10
do_prepare_recipe_sysroot, 332275, 0.44, 12, 1, 1, 0, 1306913, 826581, 340, 252, 0, 856064, 0, 0.126968, 0.01539, 65436, 8062, 0, 0, 136, 2, 70, 0.015674999999999998, 0.0, 59740, 597, 0, 0, 1536, 11, 6
do_install, 352670, 0.39, 17, 1, 3, 1, 1236385, 325839, 1299, 478, 0, 294912, 0, 0.179527, 0.019947, 65964, 14338, 0, 0, 112, 86, 335, 0.038324, 0.011574, 63272, 7773, 0, 0, 464, 112, 109
do_compile, 352039, 0.17, 14, 1, 0, 0, 667070, 45345, 211, 150, 0, 40960, 0, 0.14789, 0.011991, 65940, 8368, 0, 0, 80, 6, 82, 0.007793, 0.003214, 63240, 1665, 0, 0, 0, 21, 11
do_fetch, 43691, 0.02, 6, 0, 0, 0, 507099, 51697, 39, 68, 0, 53248, 0, 0.067159, 0.007901, 61972, 6989, 0, 0, 104, 0, 1, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_configure, 332756, 9.25, 27, 5, 274, 50, 50228394, 5963555, 37788, 10305, 0, 6447104, 3661824, 0.277396, 0.054598999999999995, 66300, 16235, 0, 0, 304, 209, 172, 2.746419, 0.504234, 63416, 413842, 20, 0, 12288, 4276, 4094
do_create_spdx, 427671, 0.10, 10, 3, 1, 0, 1246022, 500388, 632, 294, 0, 212992, 0, 0.109119, 0.035074, 67632, 21201, 0, 0, 312, 34, 7, 0.019209, 0.004379, 64488, 5232, 1, 0, 104, 168, 11
do_populate_sysroot, 353796, 0.86, 27, 3, 3, 2, 1729288, 536219, 1304, 835, 0, 241664, 0, 0.270891, 0.033860999999999995, 66300, 26331, 0, 0, 360, 158, 106, 0.039157, 0.026268999999999997, 63476, 8647, 1, 0, 112, 157, 188
do_unpack, 318165, 0.08, 16, 1, 1, 1, 2312687, 2616966, 573, 470, 0, 1654784, 0, 0.164482, 0.016448, 65164, 11845, 0, 0, 128, 10, 14, 0.017665, 0.013392999999999999, 61504, 2291, 0, 0, 3104, 134, 8
do_populate_lic, 717310, 0.51, 19, 4, 3, 0, 856467, 186123, 565, 264, 12288, 131072, 0, 0.192719, 0.049205, 70764, 18493, 1, 24, 224, 32, 110, 0.036671999999999996, 0.004796, 67744, 4982, 0, 0, 32, 97, 72
do_deploy_source_date_epoch, 332058, 0.50, 20, 3, 3, 0, 759382, 158414, 475, 297, 0, 118784, 0, 0.207786, 0.035283999999999996, 66192, 18737, 0, 0, 192, 32, 61, 0.030886999999999998, 0.001911, 63368, 4688, 1, 0, 40, 117, 26
