Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_populate_lic, 715533, 0.46, 16, 3, 2, 1, 650719, 181436, 575, 250, 12288, 131072, 0, 0.169128, 0.037722, 69484, 18323, 1, 24, 216, 45, 241, 0.029231999999999998, 0.011474999999999999, 66384, 4973, 0, 0, 40, 77, 68
do_deploy_source_date_epoch, 259974, 0.13, 13, 1, 2, 0, 548957, 161818, 474, 287, 0, 114688, 0, 0.13714099999999999, 0.019591, 64512, 18427, 0, 0, 184, 32, 28, 0.020568, 0.007631, 61712, 4680, 0, 0, 40, 98, 26
do_collect_spdx_deps, 1626852, 0.07, 13, 2, 0, 0, 347922, 45201, 36, 47, 0, 53248, 0, 0.134815, 0.024510999999999998, 70060, 7133, 0, 0, 104, 0, 29, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_recipe_qa, 30425, 0.06, 7, 0, 1, 0, 467572, 124767, 397, 208, 0, 102400, 0, 0.078847, 0.007884, 61536, 15784, 0, 0, 168, 28, 5, 0.012299, 0.001076, 58724, 4002, 0, 0, 32, 150, 6
do_install, 1585450, 0.23, 15, 4, 6, 2, 1079794, 332458, 1794, 325, 225280, 335872, 0, 0.151768, 0.046373, 62884, 13853, 0, 0, 184, 180, 289, 0.065686, 0.02076, 60804, 13061, 0, 440, 472, 413, 240
do_packagedata, 1593985, 0.83, 15, 0, 1, 3, 740989, 231192, 820, 312, 4096, 196608, 0, 0.153592, 0.009034, 71764, 23411, 0, 0, 216, 33, 35, 0.01823, 0.030038, 68964, 6906, 0, 8, 168, 137, 66
do_compile, 1584812, 0.17, 12, 2, 0, 0, 446273, 43380, 206, 148, 0, 36864, 0, 0.121095, 0.027344, 70672, 6160, 0, 0, 72, 8, 64, 0.00763, 0.005549999999999999, 67976, 1675, 0, 0, 0, 21, 15
do_fetch, 30735, 8.08, 4, 2, 0, 1, 513546, 230477, 349, 379, 0, 233472, 0, 0.046314999999999995, 0.025262, 59692, 5831, 0, 0, 120, 34, 3, 0.0, 0.010187, 56320, 903, 0, 0, 336, 105, 1
do_create_runtime_spdx, 2821317, 0.93, 11, 3, 3, 1, 966330, 398766, 606, 252, 4096, 155648, 0, 0.11861899999999999, 0.038264, 74676, 18737, 0, 8, 216, 42, 153, 0.030753, 0.011535, 71164, 5365, 1, 0, 88, 112, 95
do_prepare_recipe_sysroot, 1541930, 0.17, 12, 4, 1, 0, 1846110, 1139766, 575, 327, 147456, 1191936, 0, 0.123665, 0.047869999999999996, 68008, 8740, 0, 280, 160, 39, 252, 0.01897, 0.003346, 63040, 1207, 0, 8, 2168, 18, 56
do_patch, 252305, 0.12, 8, 1, 4, 0, 819921, 124456, 687, 133, 0, 151552, 4096, 0.088866, 0.017773, 62892, 9746, 0, 0, 128, 12, 84, 0.043031, 0.0071449999999999994, 57200, 9334, 0, 0, 168, 145, 31
do_configure, 1542854, 9.03, 27, 1, 309, 60, 61551768, 6431131, 29536, 11010, 258048, 6656000, 3297280, 0.27472199999999997, 0.017839, 70296, 16567, 0, 408, 336, 198, 136, 3.097372, 0.604236, 67384, 370824, 9, 96, 12664, 2932, 3282
do_populate_sysroot, 1586584, 0.84, 20, 1, 3, 1, 1327304, 496029, 1056, 593, 0, 233472, 0, 0.206263, 0.015865999999999998, 70576, 22799, 0, 0, 352, 64, 56, 0.031142999999999997, 0.019979999999999998, 67792, 7972, 1, 0, 104, 237, 38
do_package_qa, 2821273, 0.98, 21, 3, 3, 1, 891937, 209957, 944, 255, 4096, 159744, 0, 0.219572, 0.035288, 68212, 16663, 0, 0, 272, 58, 503, 0.030369999999999998, 0.012085, 65988, 6393, 2, 8, 40, 121, 91
do_package, 1588780, 4.74, 41, 27, 71, 8, 4290235, 2474396, 3690, 902, 0, 2019328, 0, 0.41864999999999997, 0.277795, 65136, 32659, 0, 0, 576, 2106, 111, 0.710623, 0.087002, 62952, 18706, 0, 0, 3368, 2272, 237
do_unpack, 251708, 0.10, 8, 1, 2, 0, 2092477, 2613752, 503, 474, 0, 1654784, 0, 0.08939599999999999, 0.01277, 62860, 9424, 0, 0, 128, 10, 78, 0.022706, 0.008711, 59392, 2265, 0, 0, 3104, 67, 53
do_package_write_rpm, 2820778, 3.06, 27, 4, 223, 17, 2178731, 549101, 1828, 505, 303104, 393216, 0, 0.273082, 0.049651, 68204, 23598, 0, 416, 480, 238, 328, 2.236493, 0.17027599999999998, 265424, 79638, 1, 176, 288, 1266, 892
do_create_spdx, 1627910, 1.62, 17, 2, 2, 2, 1248498, 538255, 716, 295, 8192, 229376, 0, 0.17998799999999998, 0.022976999999999997, 73728, 24268, 0, 16, 344, 45, 29, 0.02354, 0.023105, 70088, 6299, 2, 0, 104, 424, 38
