Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_recipe_qa, 7876, 0.11, 17, 3, 1, 0, 692294, 127164, 385, 221, 0, 106496, 0, 0.17202299999999998, 0.032004, 59732, 15703, 0, 0, 176, 26, 57, 0.013011, 0.006, 56996, 4004, 1, 0, 32, 117, 36
do_collect_spdx_deps, 47906, 0.02, 6, 0, 0, 0, 580268, 45963, 41, 53, 0, 53248, 0, 0.066134, 0.00778, 61956, 6896, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_populate_lic, 757883, 0.27, 19, 4, 1, 2, 1471903, 337200, 644, 285, 126976, 163840, 0, 0.19172499999999998, 0.041679, 71060, 18655, 5, 248, 232, 32, 61, 0.01841, 0.023968999999999997, 67960, 5069, 0, 0, 88, 134, 53
do_fetch, 9015, 22.72, 23, 0, 0, 2, 3479893, 3214502, 3166, 5272, 0, 3006464, 0, 0.235542, 0.0, 59068, 9245, 0, 0, 256, 881, 4, 0.002786, 0.025290999999999998, 55432, 1683, 0, 0, 5616, 839, 9
do_install, 100250, 0.30, 12, 1, 31, 6, 7522374, 2022643, 9857, 1454, 0, 2174976, 4096, 0.12981199999999998, 0.012169, 63872, 14438, 0, 0, 192, 101, 115, 0.311418, 0.068794, 61180, 99141, 7, 0, 4056, 1563, 142
do_compile, 89000, 1.56, 11, 2, 945, 155, 142241088, 3634437, 55294, 6902, 16384, 2412544, 327680, 0.115836, 0.020685, 63432, 8477, 0, 0, 1056, 202, 20, 9.455131, 1.5525449999999998, 91416, 1129794, 43, 32, 3656, 10900, 7812
do_deploy_source_date_epoch, 25917, 0.07, 9, 1, 1, 0, 756350, 156799, 497, 301, 0, 118784, 0, 0.098378, 0.011351, 61536, 18584, 0, 0, 192, 31, 4, 0.013807999999999999, 0.002087, 58728, 4673, 0, 0, 40, 148, 3
do_configure, 69790, 6.77, 20, 1, 493, 94, 136914142, 25757853, 72717, 21362, 2166784, 24010752, 12394496, 0.200102, 0.01703, 63936, 16309, 0, 0, 336, 397, 20, 4.9331949999999996, 0.9432349999999999, 73060, 1079008, 11, 4232, 46560, 9013, 1747
do_prepare_recipe_sysroot, 69732, 0.03, 6, 1, 0, 0, 1840955, 1341278, 464, 376, 0, 1372160, 0, 0.06688999999999999, 0.011804, 62728, 8065, 0, 0, 144, 2, 19, 0.008676999999999999, 0.003447, 57008, 621, 0, 0, 2536, 9, 0
do_patch, 25900, 0.03, 7, 0, 0, 0, 659297, 120655, 183, 86, 0, 126976, 4096, 0.071083, 0.004181, 60392, 10045, 0, 0, 120, 6, 1, 0.004471, 0.000816, 54548, 947, 0, 0, 128, 13, 1
do_create_runtime_spdx, 792572, 0.37, 16, 2, 1, 1, 1007212, 354935, 451, 248, 0, 135168, 0, 0.161927, 0.020239999999999998, 70996, 16466, 0, 0, 184, 53, 103, 0.016989999999999998, 0.014152, 68184, 4262, 0, 0, 80, 75, 76
do_populate_sysroot, 104531, 0.26, 20, 8, 10, 4, 5196528, 1816922, 3104, 1107, 0, 1142784, 0, 0.201207, 0.084506, 64328, 38090, 0, 0, 1128, 131, 19, 0.107545, 0.04287, 62096, 29267, 0, 0, 1104, 364, 34
do_create_spdx, 47980, 0.08, 10, 1, 1, 0, 1233466, 492763, 633, 286, 0, 212992, 0, 0.106393, 0.011399, 64184, 20864, 0, 0, 312, 40, 24, 0.017776, 0.003753, 61284, 5214, 0, 0, 104, 171, 9
do_unpack, 25890, 0.06, 5, 1, 4, 0, 14382141, 21364499, 1455, 2070, 0, 12169216, 0, 0.051997999999999996, 0.019999, 60384, 11208, 0, 0, 56, 6, 1, 0.042695, 0.008846, 56720, 1003, 0, 0, 23712, 338, 2
