Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_collect_spdx_deps, 1454115, 0.14, 13, 0, 0, 0, 360068, 43505, 33, 45, 69632, 53248, 0, 0.134063, 0.009575, 69380, 7113, 0, 136, 104, 17, 20, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_unpack, 28557, 0.05, 4, 1, 4, 0, 14161926, 21360879, 1445, 2062, 0, 12169216, 0, 0.040302, 0.014655, 59576, 7294, 0, 0, 56, 6, 57, 0.045952, 0.008194, 55940, 986, 0, 0, 23712, 334, 6
do_deploy_source_date_epoch, 244484, 0.16, 15, 2, 1, 0, 560257, 158920, 456, 282, 0, 114688, 0, 0.15545899999999999, 0.027902, 64324, 18558, 0, 0, 184, 27, 66, 0.018376999999999998, 0.007618, 61524, 4686, 0, 0, 40, 88, 22
do_recipe_qa, 27806, 0.05, 7, 1, 1, 0, 476310, 122648, 390, 206, 0, 102400, 0, 0.077998, 0.015599, 61232, 15807, 0, 0, 168, 29, 8, 0.012972, 0.001015, 58420, 3971, 0, 0, 32, 141, 6
do_install, 1644039, 8.47, 16, 1, 162, 47, 17498794, 4362205, 38202, 2708, 2723840, 4534272, 4096, 0.16683099999999998, 0.012511999999999999, 63228, 13955, 0, 0, 296, 982, 25, 1.628253, 0.47212099999999996, 61112, 405621, 40, 5320, 8560, 12312, 3348
do_package, 1660104, 8.66, 118, 66, 281, 66, 52912369, 22573640, 41615, 4310, 8192, 12419072, 3059712, 1.186391, 0.660875, 67656, 75651, 0, 8, 1432, 1600, 15095, 2.8138259999999997, 0.6654599999999999, 65472, 142350, 1, 8, 22824, 5798, 8870
do_patch, 238356, 0.04, 6, 2, 0, 0, 1071900, 633585, 327, 207, 0, 651264, 4096, 0.066942, 0.029751999999999997, 62716, 11811, 0, 0, 128, 6, 21, 0.00885, 0.0033079999999999997, 56992, 950, 0, 0, 1144, 9, 6
do_packagedata, 1673300, 2.44, 19, 2, 4, 2, 1158737, 581259, 1212, 398, 135168, 462848, 0, 0.192205, 0.026819, 71736, 23294, 0, 256, 296, 52, 117, 0.040722999999999995, 0.025512, 68976, 7033, 0, 8, 608, 154, 74
do_compile, 1630729, 5.94, 16, 2, 1510, 226, 179861749, 15559839, 59577, 10379, 1781760, 5238784, 327680, 0.169352, 0.028225, 70700, 8501, 0, 0, 1736, 220, 21, 15.100788, 2.265823, 124780, 1137598, 28, 3480, 8496, 12436, 10492
do_fetch, 27855, 0.01, 4, 0, 0, 0, 299032, 43836, 28, 54, 0, 53248, 0, 0.045147, 0.004104, 59420, 4549, 0, 0, 104, 0, 2, 0.0, 0.0, 0, 0, 0, 0, 0, 0, 0
do_prepare_recipe_sysroot, 1527340, 0.23, 12, 5, 2, 0, 1859311, 1135260, 566, 322, 40960, 1175552, 0, 0.125031, 0.05418, 68364, 8728, 0, 80, 144, 20, 28, 0.022040999999999998, 0.000516, 63196, 1200, 0, 0, 2152, 21, 16
do_configure, 1527962, 38.35, 33, 4, 910, 169, 178266092, 29211905, 83049, 24634, 933888, 26841088, 14991360, 0.33863, 0.043313, 71076, 19623, 0, 120, 408, 477, 82, 9.107943, 1.69562, 101456, 1028827, 31, 1704, 52016, 9885, 7393
do_create_runtime_spdx, 3120381, 1.82, 24, 3, 3, 1, 1889939, 574967, 1000, 295, 1019904, 294912, 0, 0.246576, 0.038356, 61912, 22094, 12, 1704, 480, 117, 82, 0.036446, 0.010213999999999999, 58344, 5427, 0, 288, 96, 123, 65
do_populate_sysroot, 1658274, 3.32, 257, 27, 5, 4, 4691305, 2222317, 1647, 701, 0, 1712128, 196608, 2.576881, 0.270189, 71288, 24408, 0, 0, 2248, 151, 126, 0.05341, 0.044378999999999995, 68880, 11518, 1, 0, 1096, 265, 146
do_package_qa, 3120323, 5.56, 50, 17, 10, 13, 8412520, 342241, 8531, 368, 6701056, 163840, 0, 0.509423, 0.177388, 57772, 26047, 347, 12936, 272, 693, 6438, 0.102702, 0.131771, 55472, 42849, 0, 152, 48, 286, 324
do_package_write_rpm, 3120279, 15.18, 40, 9, 1848, 110, 35117145, 5506088, 10638, 2222, 2113536, 3391488, 0, 0.404811, 0.09140899999999999, 57316, 25011, 1, 1592, 624, 1697, 882, 18.484903, 1.103307, 1915592, 644529, 0, 2536, 6000, 12373, 8351
do_populate_lic, 749566, 0.25, 12, 4, 3, 0, 1143697, 332385, 638, 272, 126976, 159744, 0, 0.126818, 0.049957999999999995, 69772, 18446, 5, 248, 224, 43, 42, 0.037135, 0.005941, 66680, 5078, 1, 0, 88, 81, 61
do_create_spdx, 1701324, 1.74, 35, 8, 8, 9, 2581859, 1693060, 1470, 1216, 0, 749568, 0, 0.35156099999999996, 0.084552, 74480, 44268, 0, 0, 1296, 125, 330, 0.083428, 0.09265899999999999, 70916, 13276, 0, 0, 168, 1509, 600
