Tasktype, PID, Elapsed time, utime, stime, cutime, cstime, IO rchar, IO wchar, IO syscr, IO syscw, IO read_bytes, IO write_bytes, IO cancelled_write_bytes, rusage ru_utime, rusage ru_stime, rusage ru_maxrss, rusage ru_minflt, rusage ru_majflt, rusage ru_inblock, rusage ru_oublock, rusage ru_nvcsw, rusage ru_nivcsw, Child rusage ru_utime, Child rusage ru_stime, Child rusage ru_maxrss, Child rusage ru_minflt, Child rusage ru_majflt, Child rusage ru_inblock, Child rusage ru_oublock, Child rusage ru_nvcsw, Child rusage ru_nivcsw
do_create_spdx, 2331427, 125.41, 658, 454, 477, 493, 52764149, 34040139, 50112, 20199, 7671808, 16539648, 0, 6.583051, 4.543368, 103708, 1578167, 251, 14984, 30752, 4983, 2814, 4.778433, 4.939446, 100836, 499505, 13, 0, 1552, 72134, 20949
do_package_write_rpm, 2721197, 552.91, 746, 67, 120474, 6259, 6978116269, 472062920, 366005, 95415, 1432936448, 279363584, 0, 7.4624369999999995, 0.67457, 95928, 58207, 8813, 146392, 6528, 74932, 2766, 1204.748192, 62.592295, 2296420, 40131406, 5441, 2652312, 539104, 663058, 392846
do_collect_spdx_deps, 1458384, 0.20, 11, 0, 0, 0, 439297, 105769, 129, 63, 0, 114688, 0, 0.116745, 0.0, 69012, 6490, 0, 0, 96, 2, 25, 0.004618, 0.002092, 63396, 586, 0, 0, 128, 7, 1
do_prepare_recipe_sysroot, 1441138, 1.29, 12, 5, 0, 0, 1350883, 684184, 350, 202, 57344, 700416, 0, 0.128496, 0.054513, 67652, 8224, 0, 112, 144, 16, 120, 0.0061259999999999995, 0.003698, 62652, 626, 0, 0, 1224, 10, 1
do_recipe_qa, 762768, 0.13, 13, 3, 1, 0, 519831, 120601, 359, 204, 0, 98304, 0, 0.133209, 0.031342999999999996, 69220, 16047, 0, 0, 160, 16, 92, 0.018139, 0.007925999999999999, 66420, 3973, 0, 0, 32, 61, 23
do_package_qa, 3134645, 140.27, 1858, 395, 266, 362, 1063541994, 4450593, 151187, 6019, 313438208, 356352, 0, 18.589285, 3.958506, 87740, 980213, 2882, 611928, 480, 18872, 104478, 2.6612489999999998, 3.621991, 85460, 1175128, 39, 256, 216, 3904, 9075
do_packagedata, 2292230, 2.98, 39, 15, 17, 55, 16408648, 15264102, 28104, 5781, 32768, 18391040, 0, 0.39237299999999997, 0.157682, 72292, 21424, 0, 48, 4936, 58, 194, 0.17007799999999998, 0.553952, 69548, 14598, 0, 16, 30984, 787, 1406
do_populate_lic, 755773, 0.17, 17, 2, 2, 0, 831256, 218718, 632, 253, 0, 135168, 0, 0.17035899999999998, 0.027732, 69520, 18416, 0, 0, 216, 58, 29, 0.028787, 0.00993, 66416, 5002, 0, 0, 48, 117, 90
do_package, 1455258, 318.88, 2348, 1286, 57686, 5011, 8104673113, 4481696897, 1919022, 383291, 20123648, 2435698688, 44822528, 23.482846, 12.8685, 123912, 3824005, 0, 38288, 34440, 175569, 169738, 576.862321, 50.117937, 451772, 29018407, 222, 1016, 4722784, 346991, 521385
do_install, 1441336, 17.21, 17, 3, 149, 49, 44056042, 32256428, 36706, 3742, 4096, 33615872, 0, 0.170849, 0.037141, 61512, 14439, 0, 0, 280, 898, 110, 1.497288, 0.49188899999999997, 59432, 289031, 2, 8, 65376, 10753, 9212
do_create_runtime_spdx, 3135526, 89.90, 978, 78, 10, 6, 49692401, 15727174, 34090, 3630, 27865088, 10416128, 0, 9.786116, 0.783798, 86404, 42420, 34, 54424, 19552, 3088, 4134, 0.109715, 0.06944, 83196, 10774, 1, 0, 792, 445, 226
do_deploy_source_date_epoch, 595296, 0.43, 19, 3, 1, 1, 551102, 152754, 434, 271, 8192, 110592, 0, 0.195327, 0.039862, 67612, 18769, 0, 16, 184, 46, 108, 0.013279, 0.013254, 64812, 4537, 0, 0, 32, 93, 61
